FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,SupOver80CountUsDisp,"DFR URL"
"""HORSE CREEK EAGLE DEEP MINE"" & ""HORSE CREEK NO. 2 GAS DEEP MINE""","HORSE CREEK EAGLE DEEP MINE &",DOROTHY,WV,110042322876,Y,11,4,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110042322876
"#1 STRIP MINE/SOUTHFORK DEEP MINE #2","5.5 MILES NE OF APPALACHIA ON ROARING FORK",DUNBAR,VA,110070930929,Y,2,20,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110070930929
"#6630-215 ARVADA, CO - FUEL STATION","7370 W 52ND AVENUE",ARAVADA,CO,110071067993,Y,5,0,0,Y,9,https://echo.epa.gov/detailed-facility-report?fid=110071067993
"(CED) CEDARTOWN, GA","100 N PARK BLVD",CEDARTOWN,GA,110071404780,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071404780
"042 LLC STP","41867 NORTH HIGHWAY 41",WADSWORTH,IL,110009982439,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110009982439
"1 DODGINGTOWN ROAD",,,CT,110050002849,Y,2,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110050002849
"10 FAN PIER BOULEVARD","10 FAN PIER BOULEVARD",BOSTON,MA,110070839467,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070839467
"10 STATION LLC","10 STATION ST","MANALAPAN TWP",NJ,110070938738,Y,6,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070938738
"10 TANKER AIR CARRIER LLC","2503 A CLARK CARR LOOP S.E.",ALBUQUERQUE,NM,110064869879,Y,7,1,1,Y,11,https://echo.epa.gov/detailed-facility-report?fid=110064869879
"100 NORTHERN AVE","100 NORTHERN AVE",BOSTON,MA,110070567407,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070567407
"100 ST PAUL","100 ST PAUL ST",DENVER,CO,110056126972,Y,7,2,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110056126972
"103 119 MAIN STREET WEST","103 119 MAIN ST","MAPLE SHADE",NJ,110032028142,Y,4,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110032028142
"103 FOURTH AVENUE, WALTHAM MA","103 FOURTH AVENUE",WALTHAM,MA,110071237166,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071237166
"109TH STREET COTTAGES","6416 NE 109TH ST",VANCOUVER,WA,110071182151,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071182151
"10A MINE, SAYLOR A MINE, SAYLOR B MINE","CARPENTER FORK RD","LITTLE BIRCH",WV,110069578638,Y,11,6,1,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110069578638
"10TH STREET NE IMPROVEMENTS",UNSPECIFIED,"EAST WENATCHEE",WA,110071177413,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177413
"1101 ROUTE 46, LEDGEWOOD, NJ LOCATION","1101 RT 46","ROXBURY TWP",NJ,110071251795,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071251795
"1112 ENGINEERS ROAD, LLC","1112 ENGINEERS RD","BELLE CHASSE",LA,110011178242,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110011178242
"1155 CANYON CONDOMINIUMS","1155 CANYON BLVD","BOULDER COUNTY",CO,110024815976,Y,9,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110024815976
"115KV UNDERGROUND TRANSMISSION LINE - ANDREW SQUARE TO DEWAR STREET","ANDREW SQUARE TO DEWAR STREET",BOSTON,MA,110071445083,Y,1,0,1,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110071445083
"117 PJ FUEL, INC.",,,,110070768812,Y,8,0,0,N,,https://echo.epa.gov/detailed-facility-report?fid=110070768812
"118TH & 302",UNSPECIFIED,"GIG HARBOR",WA,110071177723,Y,6,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177723
"119TH STREET COTTAGES","6006 NE 119TH ST",VANCOUVER,WA,110071323693,Y,4,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071323693
"120UP PKA MILL PLAIN COMMONS GINN",UNSPECIFIED,VANCOUVER,WA,110071180207,Y,6,0,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110071180207
"126 LLC D/B/A PASSAIC RIVER TERMINALS, LLC.","126 PASSAIC ST",NEWARK,NJ,110000319290,Y,12,4,2,Y,13,https://echo.epa.gov/detailed-facility-report?fid=110000319290
"12TH AND OLIVE PROPERTY","1710 12TH AVE",SEATTLE,WA,110071323362,Y,3,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071323362
"12TH AVE NW AND SR 900 17TH AVE NW IMPROVEMENT PROJECT",UNSPECIFIED,ISSAQUAH,WA,110071401832,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071401832
"1300 WHEATON LLC","1300 WHEATON AVE",MILLVILLE,NJ,110071467671,Y,4,0,1,Y,,https://echo.epa.gov/detailed-facility-report?fid=110071467671
"1301 CANYON CONDOMINIUM","13 AND CANYON",BOULDER,CO,110063216425,Y,9,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110063216425
"130TH AVENUE SUBDIVISION",UNSPECIFIED,VANCOUVER,WA,110071180296,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071180296
"1329 N. HIGHWAY 190 BUILDING","1329 N. HIGHWAY 190",COVINGTON,LA,110023141090,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110023141090
"1420-ROSEDALE SHELL","7514 PULASKI HIGHWAY",BALTIMORE,MD,110071092599,Y,5,0,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110071092599
"14TH ST TOWNHOMES","50 14TH ST NE","EAST WENATCHEE",WA,110071176999,Y,5,1,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110071176999
"1515 VRAIN ST","1515 VRAIN ST",DENVER,CO,110070201815,Y,12,0,0,Y,9,https://echo.epa.gov/detailed-facility-report?fid=110070201815
"152ND TRUCK STORAGE",UNSPECIFIED,MARYSVILLE,WA,110071180980,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071180980
"1551 - DORSEY ROAD SHELL","1356 DORSEY ROAD",HANOVER,MD,110071256228,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071256228
"165 MAIN STREET AND ONE BROADWAY","165 MAIN STREET",CAMBRIDGE,MA,110070517300,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070517300
"1685 BALTIMORE PIKE OFFICE BUILDING WWTP","1685 BALTIMORE PIKE",GETTYSBURG,PA,110059928459,Y,10,13,3,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110059928459
"18 DEGREES TOWNHOMES","626 164TH ST SW",LYNNWOOD,WA,110071374691,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071374691
"1800 LARIMER LLC","1800 LARIMER ST STE 1700","DENVER COUNTY",CO,110031105685,Y,11,0,0,Y,10,https://echo.epa.gov/detailed-facility-report?fid=110031105685
"1800 NORTH","924 W 1500 N","SALT LAKE CITY",UT,110071364657,Y,4,1,0,Y,6,https://echo.epa.gov/detailed-facility-report?fid=110071364657
"180TH ST SE CORRIDOR IMPROVEMENTS",UNSPECIFIED,BOTHELL,WA,110071177504,Y,3,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177504
"183N MOBILITY PROJECT CONCRETE BATCH PLANT AND YARD SITE","US183 AND TX45 WEST INTERSECTION. RANCH ROAD 620N.",AUSTIN,TX,110071322700,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071322700
"190 MOTEL","3603 HWY 190 W",HAMMOND,LA,110043263786,Y,11,0,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110043263786
"191 FOSTER STREET NH LLC","191 FOSTER ST","NEW HAVEN",CT,110003010125,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110003010125
"198TH AVE. EAST CRP 5675 – SEGMENT 2",UNSPECIFIED,SUMNER,WA,110071181778,Y,9,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071181778
"1ST STREET MULTI FAMILY",UNSPECIFIED,CENTRALIA,WA,110071339139,Y,3,1,0,Y,3,https://echo.epa.gov/detailed-facility-report?fid=110071339139
"2 SEVEN HUNDRED SUBDIVISION","2700 NE 71ST ST",VANCOUVER,WA,110071177675,Y,4,0,0,Y,3,https://echo.epa.gov/detailed-facility-report?fid=110071177675
"20 ROAD GRAVEL PIT","2012 RIVER RD",FRUITA,CO,110030439041,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110030439041
"200 112TH AVE NE","200 112TH AVE NE",BELLEVUE,WA,110071298776,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071298776
"2021 SIDEWALKS PROJECT",UNSPECIFIED,SEATTLE,WA,110071176872,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071176872
"2022 PRV VAULT IMPROVEMENTS","153 POTOMAC ST",AURORA,CO,110071375499,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071375499
