Date,Brand-Names,Product-Description,Product-Types,Recall-Reason-Description,Company-Name,Terminated Recall
02/08/2018,Baxter,"intravenous (IV) solutions: 0.9% Sodium Chloride Injection, USP, 250 mL VIAFLEX Plastic Container and 70% Dextrose Injection (2000 mL) USP",Drugs,Labeled as Eliquis5 mg was found to contain Eliquis 2.5 mg tablets,Baxter International Inc.,Terminated
02/09/2018,LaBri’s Body Health,Dietary Supplement,Drugs,Mislabeling,Envy Me,Terminated
02/08/2018,Bristol-Myers Squibb,Eliquis (apixaban) 5 mg Tablets,Drugs,Potential Labeling Issue,Bristol-Myers Squibb,Terminated
02/08/2018,LaBri's Body Health,Dietary Supplement,Drugs,Due to presence of Sibutramine,EZ Weight Loss TX,Terminated
02/08/2018,Amneal Pharmaceuticals LLC,"Lorazepam Oral Concentrate, USP 2mg/mL",Drugs,Due to Misprinted Dosing Droppers,Amneal Pharmaceuticals LLC,Terminated
02/09/2018,Rajbhog Sweets,Jalebi,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared almonds,Rajbhog Distributors GA. Inc.,Terminated
09/08/2017,Garden of Life,Baby Organic Liquid Supplement,"Food & Beverages, Food & Beverage Safety, Baby Food Product",Potential Choking Hazard,Garden of Life LLC,Terminated
09/12/2017,Medtronic,Infusion sets,Medical Devices,A component may be susceptible to being blocked by fluid,Medtronic,
12/29/2017,Stop & Shop,Corn,"Food & Beverages, Food & Beverage Safety",Listeria monocytogenes,The Stop & Shop Supermarket Company LLC,Terminated
12/29/2017,N/A,"Dark Chocolate Almonds, Dark Chocolate Cashews, and Dark Chocolate Pecans","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product",Undeclared Milk,"Farrell Farms, Inc.",Terminated
07/08/2021,Circle K,Chicken Salad Sandwich,"Food & Beverages, Foodborne Illness, Prepared Food",Potential Listeria monocytogenes contamination,LSG Sky Chefs,Terminated
07/13/2021,"Innoveix Pharmaceuticals, Inc.",Injectable Semorelin / Ipamorelin 3mg and injectable AOD-9604 3mg,Drugs,Potential lack of sterility assurance,"Innoveix Pharmaceuticals, Inc.",
07/14/2021,"5000 Years Foods, Inc.",Kimchi Products,Food & Beverages,Potential Listeria monocytogenes contamination,"5000 Years Foods, Inc.",Terminated
07/14/2021,"Neutrogena, Aveeno",Sunscreen,Drugs,Testing identified low levels of benzene,Johnson & Johnson,
07/16/2021,BrightFarms,Salad greens,"Food & Beverages, Foodborne Illness",Salmonella,BrightFarms,Terminated
07/19/2021,CHANTIX,Smoking cessation treatment,Drugs,N-Nitroso Varenicline content above ADI level,Pfizer,
07/19/2021,Alpha Male Plus,Alpha Male Plus Male Enhancer fruit chew,Dietary Supplements,Undeclared Tadalafil,Alpha Male Plus,
07/20/2021,Uncle Wally's and multiple other brands,muffin products,"Food & Beverages, Foodborne Illness, Bakery Product/Mix",Potential Listeria monocytogenes contamination,Give and Go Prepared Foods Corp.,Terminated
07/20/2021,Backroad Country,Dried Apricots,Food & Beverages,Undeclared Sulfites,Lipari Foods,Terminated
07/21/2021,BrightFarms,Salad greens,"Food & Beverages, Foodborne Illness",Salmonella,BrightFarms,
07/22/2021,Grimmway Farms and others,Carrot products,"Food & Beverages, Foodborne Illness, Produce",Salmonella,Grimmway Farms,
07/22/2021,HIS,Dietary Supplement for Weight Loss,Dietary Supplements,Undeclared Sibutramine,HIS,
07/22/2021,Backroad Country,Dried Apricots,Food & Beverages,Undeclared Sulfites,Lipari Foods,
07/26/2021,Haen Meats,1959 House Blend (Seasoning),"Food & Beverages, Foodborne Illness, Spices, Flavors &  Salts",Potential Listeria monocytogenes,Excalibur Seasoning Company,
07/26/2021,Old Soul's Farms LLC,Greenhouse leafy green products,Food & Beverages,Listeria monocytogenes,Old Soul's Farms LLC,Terminated
07/27/2021,McCormick and Frank’s,Italian Seasonings and RedHot Buffalo Ranch Seasoning,Food & Beverages,Potential for Salmonella,"McCormick & Company, Inc.",Terminated
